"CATEGORIA";"UNIDADE";"PRODUTO DE VENDA";"VENDA DE FRENTE DE LOJA";"VENDA DELIVERY";"CANCELAMENTOS C/DESPERDICIO";"SAIDA TOTAL";"CUSTO";"CUSTO TOTAL";"RECEITA FRENTE DE LOJA";"RECEITA DELIVERY";"VALOR CANCELAMENTOS";"VALOR TOTAL S/CANCELAMENTOS";"CANCELAMENTOS S/DESPERDICIO";
"CAIPIRINHAS E CAIPIROSCAS";"LIFEBOX - SETOR OESTE/ GO";"CAIPIRINHA DE AMORA";"9";"0";"0";"9";"5,70";"51,30";"225";"0";"0";"225,00";"0";
"CAIPIRINHAS E CAIPIROSCAS";"LIFEBOX - SETOR OESTE/ GO";"CAIPIROSCA DE MORANGO";"9";"0";"0";"9";"3,08";"27,72";"243";"0";"0";"243,00";"0";
"CAIPIRINHAS E CAIPIROSCAS";"LIFEBOX - SETOR OESTE/ GO";"CAIPIROSCA DE AMORA";"6";"0";"1";"7";"4,08";"28,56";"162";"0";"27";"162,00";"0";
"CAIPIRINHAS E CAIPIROSCAS";"LIFEBOX - SETOR OESTE/ GO";"CAIPIRINHA DE LIMAO";"11";"0";"0";"11";"5,54";"60,94";"275";"0";"0";"275,00";"0";
"CAIPIRINHAS E CAIPIROSCAS";"LIFEBOX - SETOR OESTE/ GO";"CAIPIRINHA DE MARACUJA";"5";"0";"0";"5";"7,10";"35,50";"125";"0";"0";"125,00";"0";
"CAIPIRINHAS E CAIPIROSCAS";"LIFEBOX - SETOR OESTE/ GO";"CAIPIROSCA DE LIMAO";"14";"0";"0";"14";"3,05";"42,70";"378";"0";"0";"378,00";"0";
"CAIPIRINHAS E CAIPIROSCAS";"LIFEBOX - SETOR OESTE/ GO";"CAIPIRINHA DE MORANGO";"13";"0";"0";"13";"4,70";"61,10";"325";"0";"0";"325,00";"0";
"CAIPIRINHAS E CAIPIROSCAS";"LIFEBOX - SETOR OESTE/ GO";"CAIPIROSCA DE ABACAXI";"2";"0";"0";"2";"5,49";"10,98";"54";"0";"0";"54,00";"0";
"CAIPIRINHAS E CAIPIROSCAS";"LIFEBOX - SETOR OESTE/ GO";"CAIPIRINHA DE ABACAXI";"2";"0";"0";"2";"7,11";"14,22";"50";"0";"0";"50,00";"0";
"CAIPIRINHAS E CAIPIROSCAS";"LIFEBOX - SETOR OESTE/ GO";"CAIPIROSCA DE MARACUJA";"3";"0";"0";"3";"5,48";"16,44";"81";"0";"0";"81,00";"0";
"COMBO LIFE DO DIA";"LIFEBOX - SETOR OESTE/ GO";"TRADICIONAL + FRITAS + REFRI LATA";"0";"50";"0";"50";"21,49";"1.074,50";"0";"3895";"0";"3.895,00";"0";
"COMBO LIFE DO DIA";"LIFEBOX - SETOR OESTE/ GO";"SIMPLES + FRITAS + REFRI LATA";"0";"42";"0";"42";"21,36";"897,12";"0";"3104";"0";"3.103,80";"0";
"COMBO LIFE DO DIA";"LIFEBOX - SETOR OESTE/ GO";"SMASH LIFE DUPLO + FRITAS + REFRI LATA";"0";"33";"0";"33";"18,48";"609,84";"0";"2241";"0";"2.240,70";"0";
"COMBO LIFE DO DIA";"LIFEBOX - SETOR OESTE/ GO";"AGRIDOCE + FRITAS + REFRI LATA";"0";"21";"0";"21";"22,47";"471,87";"0";"1573";"0";"1.572,90";"0";
"COMBO LIFE DO DIA";"LIFEBOX - SETOR OESTE/ GO";"PICANHA PREMIUM + FRITAS + REFRI LATA";"0";"55";"0";"55";"22,93";"1.261,15";"0";"4395";"0";"4.394,50";"0";
"COMBOS COM COCA COLA";"LIFEBOX - SETOR OESTE/ GO";"RETRO + COCA COLA LATA";"0";"214";"0";"214";"15,56";"3.329,84";"0";"12624";"0";"12.623,86";"0";
"COMBOS COM COCA COLA";"LIFEBOX - SETOR OESTE/ GO";"PARMEGIANA DE  FRANGO + COCA COLA LATA";"0";"22";"0";"22";"11,66";"256,52";"0";"1142";"0";"1.141,80";"0";
"COMBOS COM COCA COLA";"LIFEBOX - SETOR OESTE/ GO";"TEXANO + COCA COLA LATA";"0";"145";"0";"145";"13,63";"1.976,35";"0";"8699";"0";"8.698,55";"0";
"COMBOS COM COCA COLA";"LIFEBOX - SETOR OESTE/ GO";"CHURRASCO BURGER + COCA COLA LATA";"0";"151";"0";"151";"17,91";"2.704,41";"0";"10417";"0";"10.417,49";"0";
"COMBOS COM COCA COLA";"LIFEBOX - SETOR OESTE/ GO";"FRANGO BURGER + COCA COLA LATA";"0";"86";"0";"86";"11,53";"991,58";"0";"4299";"0";"4.299,14";"0";
"DIFERENTOES";"LIFEBOX - SETOR OESTE/ GO";"PICANTE BURGER";"90";"2";"6";"98";"16,18";"1.585,64";"4950";"116";"330";"5.066,00";"1";
"DIFERENTOES";"LIFEBOX - SETOR OESTE/ GO";"SIMPLES";"378";"7";"12";"397";"15,30";"6.074,10";"17766";"343";"564";"18.108,98";"3";
"DIFERENTOES";"LIFEBOX - SETOR OESTE/ GO";"FRANGO BURGER";"172";"8";"13";"193";"9,62";"1.856,66";"6680";"336";"520";"7.016,00";"11";
"DIFERENTOES";"LIFEBOX - SETOR OESTE/ GO";"CHURRASCO BURGER";"319";"2";"7";"328";"17,14";"5.621,92";"18560";"120";"406";"18.680,00";"11";
"DIFERENTOES";"LIFEBOX - SETOR OESTE/ GO";"GORGON";"272";"8";"6";"286";"15,30";"4.375,80";"13872";"424";"306";"14.296,00";"2";
"DIFERENTOES";"LIFEBOX - SETOR OESTE/ GO";"AMERICAN BURGER";"152";"1";"13";"166";"15,08";"2.503,28";"5701";"51";"637";"5.752,00";"0";
"DIFERENTOES";"LIFEBOX - SETOR OESTE/ GO";"QUEIJO A MILANESA";"76";"4";"1";"81";"10,05";"814,05";"2975";"168";"40";"3.143,00";"0";
"DIFERENTOES";"LIFEBOX - SETOR OESTE/ GO";"SEM EMPANAR";"31";"46";"8";"85";"0,00";"0,00";"0";"0";"0";"0,00";"2";
"DIFERENTOES";"LIFEBOX - SETOR OESTE/ GO";"EMPANAR";"134";"137";"5";"276";"0,65";"179,40";"0";"0";"0";"0,00";"3";
"DIFERENTOES";"LIFEBOX - SETOR OESTE/ GO";"MINI PICANTE";"47";"0";"0";"47";"3,27";"153,69";"0";"0";"0";"0,00";"0";
"DIFERENTOES";"LIFEBOX - SETOR OESTE/ GO";"HAMBURGUER ANGUS 170G";"8";"64";"0";"72";"5,36";"385,92";"157";"1292";"0";"1.449,00";"1";
"DIFERENTOES";"LIFEBOX - SETOR OESTE/ GO";"PARA VIAGEM";"267";"0";"370";"637";"0";"0";"0";"0,00";"6";
"DIFERENTOES";"LIFEBOX - SETOR OESTE/ GO";"HAMBURGER DE FRANGO 150G";"2";"1";"0";"3";"1,43";"4,29";"18";"9";"0";"27,00";"0";
"DIFERENTOES";"LIFEBOX - SETOR OESTE/ GO";"GORGON.";"0";"84";"0";"84";"15,30";"1.285,20";"0";"4536";"0";"4.536,00";"0";
"DIFERENTOES";"LIFEBOX - SETOR OESTE/ GO";"AMERICAN BURGER.";"0";"159";"0";"159";"15,08";"2.397,72";"0";"7441";"0";"7.441,20";"0";
"DIFERENTOES";"LIFEBOX - SETOR OESTE/ GO";"FRANGO BURGER.";"0";"89";"0";"89";"9,62";"856,18";"0";"3827";"0";"3.827,00";"0";
"DIFERENTOES";"LIFEBOX - SETOR OESTE/ GO";"QUEIJO A MILANESA.";"0";"34";"0";"34";"10,05";"341,70";"0";"1462";"0";"1.462,00";"0";
"DIFERENTOES";"LIFEBOX - SETOR OESTE/ GO";"PICANTE BURGER.";"0";"51";"0";"51";"16,18";"825,18";"0";"3009";"0";"3.009,00";"0";
"DIFERENTOES";"LIFEBOX - SETOR OESTE/ GO";"CHURRASCO BURGER.";"0";"105";"0";"105";"17,91";"1.880,55";"0";"6405";"0";"6.405,00";"0";
"DIFERENTOES";"LIFEBOX - SETOR OESTE/ GO";"SIMPLES.";"0";"156";"0";"156";"15,30";"2.386,80";"0";"7800";"0";"7.800,00";"0";
"EMPORIO";"LIFEBOX - SETOR OESTE/ GO";"BISNAGA GARLIC";"17";"3";"0";"20";"6,72";"134,40";"396";"66";"0";"462,00";"4";
"EMPORIO";"LIFEBOX - SETOR OESTE/ GO";"BISNAGA KETCHUP DE GOIABA";"23";"2";"1";"26";"4,92";"127,92";"506";"44";"22";"550,00";"1";
"EMPORIO";"LIFEBOX - SETOR OESTE/ GO";"BISNAGA DA CASA";"17";"1";"0";"18";"8,03";"144,54";"374";"22";"0";"396,00";"3";
"EMPORIO";"LIFEBOX - SETOR OESTE/ GO";"BONÉ LIFEBOX - UN";"0";"0";"4";"4";"30,84";"123,36";"0";"0";"200";"0,00";"0";
"EMPORIO";"LIFEBOX - SETOR OESTE/ GO";"BISNAGA GOOD LIFE";"2";"1";"0";"3";"7,49";"22,47";"44";"22";"0";"66,00";"0";
"EMPORIO";"LIFEBOX - SETOR OESTE/ GO";"BISNAGA DA CASA.";"0";"9";"0";"9";"8,03";"72,27";"0";"207";"0";"207,00";"0";
"EMPORIO";"LIFEBOX - SETOR OESTE/ GO";"BISNAGA GARLIC.";"0";"7";"0";"7";"6,72";"47,04";"0";"161";"0";"161,00";"0";
"EMPORIO";"LIFEBOX - SETOR OESTE/ GO";"BISNAGA KETCHUP DE GOIABA.";"0";"13";"0";"13";"4,92";"63,96";"0";"299";"0";"299,00";"0";
"EMPORIO";"LIFEBOX - SETOR OESTE/ GO";"BISNAGA GOOD LIFE.";"0";"2";"0";"2";"7,49";"14,98";"0";"46";"0";"46,00";"0";
"ENTRADAS";"LIFEBOX - SETOR OESTE/ GO";"COXINHA SEM MASSA";"149";"0";"13";"162";"7,39";"1.197,18";"5364";"0";"468";"5.364,00";"3";
"ENTRADAS";"LIFEBOX - SETOR OESTE/ GO";"BUFFALO WINGS";"56";"0";"6";"62";"12,29";"761,98";"3248";"0";"348";"3.247,96";"1";
"ENTRADAS";"LIFEBOX - SETOR OESTE/ GO";"CROQUETTE 4 UNIDADES";"59";"0";"0";"59";"10,03";"591,77";"2360";"0";"0";"2.360,00";"1";
"ENTRADAS";"LIFEBOX - SETOR OESTE/ GO";"CROQUETTE 8 UNIDADES";"43";"2";"12";"57";"18,84";"1.073,88";"2838";"136";"792";"2.974,00";"0";
"ENTRADAS";"LIFEBOX - SETOR OESTE/ GO";"PARA VIAGEM";"267";"0";"370";"637";"0";"0";"0";"0,00";"6";
"ENTRADAS";"LIFEBOX - SETOR OESTE/ GO";"CROQUETTE.";"0";"58";"0";"58";"18,70";"1.084,60";"0";"4002";"0";"4.002,00";"0";
"ENTRADAS";"LIFEBOX - SETOR OESTE/ GO";"BUFFALO WINGS.";"0";"35";"0";"35";"12,29";"430,15";"0";"2135";"0";"2.135,00";"0";
"EXTRAS";"LIFEBOX - SETOR OESTE/ GO";"AD EMBALAGEM";"50";"0";"1";"51";"0,00";"0,00";"2";"0";"0";"2,00";"2";
"EXTRAS";"LIFEBOX - SETOR OESTE/ GO";"EMBALAGEM HAMBURGUEIRA";"37";"0";"1";"38";"1,11";"42,18";"74";"0";"2";"74,00";"2";
"EXTRAS";"LIFEBOX - SETOR OESTE/ GO";"EMBALAGEM ALMOCO";"8";"0";"0";"8";"4,12";"32,96";"16";"0";"0";"16,00";"0";
"EXTRAS";"LIFEBOX - SETOR OESTE/ GO";"EMBALAGEM MEIA";"1";"0";"0";"1";"1,44";"1,44";"2";"0";"0";"2,00";"0";
"FRITAS";"LIFEBOX - SETOR OESTE/ GO";"FRITAS PARMESAO COM ERVAS";"357";"0";"18";"375";"11,83";"4.436,25";"14721";"0";"738";"14.721,35";"22";
"FRITAS";"LIFEBOX - SETOR OESTE/ GO";"FRITAS COM  FILE";"217";"0";"6";"223";"26,54";"5.918,42";"17520";"0";"480";"17.519,82";"5";
"FRITAS";"LIFEBOX - SETOR OESTE/ GO";"FRITAS COM PULLED PORK";"417";"0";"8";"425";"16,09";"6.838,25";"25200";"0";"480";"25.199,92";"19";
"FRITAS";"LIFEBOX - SETOR OESTE/ GO";"FRITAS  COM CHEDDAR E BACON";"361";"0";"10";"371";"18,03";"6.689,13";"20636";"0";"570";"20.635,92";"6";
"FRITAS";"LIFEBOX - SETOR OESTE/ GO";"FRITAS PULLED PORK";"0";"0";"0";"0";"26,01";"0,00";"0";"0";"0";"0,00";"1";
"FRITAS";"LIFEBOX - SETOR OESTE/ GO";"MEIA FRITAS CHEDDAR E BACON";"1";"2";"0";"3";"13,87";"41,61";"57";"130";"0";"187,00";"0";
"FRITAS";"LIFEBOX - SETOR OESTE/ GO";"FRITAS INDIVIDUAL COMBO";"1";"0";"1";"2";"6,41";"12,82";"10";"0";"10";"10,00";"0";
"FRITAS";"LIFEBOX - SETOR OESTE/ GO";"FRITAS PICANTES";"131";"0";"9";"140";"19,62";"2.746,80";"8386";"0";"576";"8.385,93";"5";
"FRITAS";"LIFEBOX - SETOR OESTE/ GO";"FRITAS COM  FRANGO";"140";"0";"7";"147";"14,01";"2.059,47";"7242";"0";"357";"7.242,00";"6";
"FRITAS";"LIFEBOX - SETOR OESTE/ GO";"FRITAS FILE";"1";"0";"0";"1";"55,34";"55,34";"128";"0";"0";"128,00";"1";
"FRITAS";"LIFEBOX - SETOR OESTE/ GO";"FRITAS PICANTE";"1";"0";"0";"1";"31,33";"31,33";"96";"0";"0";"96,00";"0";
"FRITAS";"LIFEBOX - SETOR OESTE/ GO";"MEIA FRITAS CHEDDAR E BACON.";"0";"135";"0";"135";"18,39";"2.482,65";"0";"8505";"0";"8.505,00";"0";
"FRITAS";"LIFEBOX - SETOR OESTE/ GO";"MEIA FRITAS PARMESAO COM ERVAS.";"0";"237";"0";"237";"11,83";"2.803,71";"0";"11139";"0";"11.139,00";"0";
"FRITAS";"LIFEBOX - SETOR OESTE/ GO";"MEIA FRITAS FILE.";"0";"96";"0";"96";"30,54";"2.931,84";"0";"8256";"0";"8.256,00";"0";
"FRITAS";"LIFEBOX - SETOR OESTE/ GO";"MEIA FRITAS PULLED PORK.";"0";"188";"0";"188";"19,63";"3.690,44";"0";"12408";"0";"12.408,00";"0";
"FRITAS";"LIFEBOX - SETOR OESTE/ GO";"MEIA FRITAS PARMESAO COM ERVAS";"0";"3";"0";"3";"11,83";"35,49";"0";"135";"0";"135,00";"0";
"FRITAS";"LIFEBOX - SETOR OESTE/ GO";"MEIA FRITAS PICANTE.";"0";"59";"0";"59";"23,74";"1.400,66";"0";"4130";"0";"4.130,00";"0";
"FRITAS";"LIFEBOX - SETOR OESTE/ GO";"MEIA FRITAS PICANTE";"0";"4";"0";"4";"18,40";"73,60";"0";"276";"0";"276,00";"0";
"FRITAS";"LIFEBOX - SETOR OESTE/ GO";"MEIA FRITAS PULLED PORK";"0";"13";"0";"13";"15,11";"196,43";"0";"845";"0";"845,00";"0";
"FRITAS";"LIFEBOX - SETOR OESTE/ GO";"MEIA FRITAS FILE";"0";"4";"0";"4";"26,02";"104,08";"0";"336";"0";"336,00";"0";
"FRITAS";"LIFEBOX - SETOR OESTE/ GO";"MEIA FRITAS COM PARMESAO";"0";"4";"0";"4";"11,35";"45,40";"0";"176";"0";"176,00";"0";
"GRANDOES";"LIFEBOX - SETOR OESTE/ GO";"DUPLO";"295";"18";"12";"325";"25,88";"8.411,00";"20355";"1242";"828";"21.597,00";"4";
"GRANDOES";"LIFEBOX - SETOR OESTE/ GO";"TRADICIONALZAO";"313";"6";"1";"320";"19,72";"6.310,40";"19093";"378";"61";"19.471,00";"5";
"GRANDOES";"LIFEBOX - SETOR OESTE/ GO";"TRIPLO";"32";"0";"2";"34";"34,90";"1.186,60";"2624";"0";"164";"2.623,99";"1";
"GRANDOES";"LIFEBOX - SETOR OESTE/ GO";"TITAN BURGER";"178";"5";"6";"189";"9,96";"1.882,44";"7580";"255";"270";"7.835,00";"8";
"GRANDOES";"LIFEBOX - SETOR OESTE/ GO";"CARNIVORO";"226";"6";"2";"234";"18,29";"4.279,86";"13108";"360";"116";"13.467,99";"1";
"GRANDOES";"LIFEBOX - SETOR OESTE/ GO";"PARA VIAGEM";"267";"0";"370";"637";"0";"0";"0";"0,00";"6";
"GRANDOES";"LIFEBOX - SETOR OESTE/ GO";"HAMBURGUER ANGUS RECHEADO 240G";"1";"0";"0";"1";"7,96";"7,96";"21";"0";"0";"21,00";"0";
"GRANDOES";"LIFEBOX - SETOR OESTE/ GO";"HAMBURGER SMASH BURGER 80G";"6";"6";"0";"12";"2,56";"30,72";"54";"94";"0";"148,00";"1";
"GRANDOES";"LIFEBOX - SETOR OESTE/ GO";"SOBRECOXA TEMPERADA";"3";"5";"0";"8";"1,83";"14,64";"30";"50";"0";"80,00";"0";
"GRANDOES";"LIFEBOX - SETOR OESTE/ GO";"DUPLO.";"0";"173";"0";"173";"25,88";"4.477,24";"0";"12110";"0";"12.110,00";"0";
"GRANDOES";"LIFEBOX - SETOR OESTE/ GO";"TRADICIONALZAO.";"0";"161";"0";"161";"19,72";"3.174,92";"0";"10304";"0";"10.304,00";"0";
"GRANDOES";"LIFEBOX - SETOR OESTE/ GO";"CARNIVORO.";"0";"82";"0";"82";"18,29";"1.499,78";"0";"5002";"0";"5.002,00";"0";
"GRANDOES";"LIFEBOX - SETOR OESTE/ GO";"TITAN BURGER.";"0";"40";"0";"40";"9,96";"398,40";"0";"2080";"0";"2.080,00";"0";
"HAPPY HOUR";"LIFEBOX - SETOR OESTE/ GO";"HAP. CHOPP HEINEKEN";"235";"0";"12";"247";"5,05";"1.247,35";"1880";"0";"96";"1.880,00";"2";
"HAPPY HOUR";"LIFEBOX - SETOR OESTE/ GO";"HAP COZUMEL";"5";"0";"0";"5";"5,10";"25,50";"45";"0";"0";"44,50";"0";
"HAPPY HOUR";"LIFEBOX - SETOR OESTE/ GO";"HAP. PASSION DRINK";"3";"0";"0";"3";"15,53";"46,59";"54";"0";"0";"54,00";"0";
"HAPPY HOUR";"LIFEBOX - SETOR OESTE/ GO";"HAP CAIPIROSCA DE AMORA";"2";"0";"1";"3";"4,90";"14,70";"27";"0";"14";"27,00";"0";
"HAPPY HOUR";"LIFEBOX - SETOR OESTE/ GO";"HAP PINK LEMONADE MIX";"4";"0";"0";"4";"4,65";"18,60";"70";"0";"0";"70,00";"1";
"HAPPY HOUR";"LIFEBOX - SETOR OESTE/ GO";"HAP TROPICAL SUNSET";"1";"0";"0";"1";"10,18";"10,18";"17";"0";"0";"16,50";"0";
"HAPPY HOUR";"LIFEBOX - SETOR OESTE/ GO";"HAP CAIPIROSCA DE MARACUJA";"3";"0";"0";"3";"5,23";"15,69";"41";"0";"0";"40,50";"0";
"HAPPY HOUR";"LIFEBOX - SETOR OESTE/ GO";"HAP CAIPIRINHA DE MARACUJA";"0";"0";"0";"0";"7,10";"0,00";"0";"0";"0";"0,00";"1";
"HAPPY HOUR";"LIFEBOX - SETOR OESTE/ GO";"HAP. HEINEKEN LONGNECK";"6";"0";"0";"6";"6,13";"36,78";"77";"0";"0";"76,80";"0";
"HAPPY HOUR";"LIFEBOX - SETOR OESTE/ GO";"HAP CAIPIRINHA DE MORANGO";"5";"0";"0";"5";"3,84";"19,20";"63";"0";"0";"62,50";"0";
"HAPPY HOUR";"LIFEBOX - SETOR OESTE/ GO";"HAP CAIPIRINHA DE ABACAXI";"2";"0";"0";"2";"7,11";"14,22";"25";"0";"0";"25,00";"0";
"HAPPY HOUR";"LIFEBOX - SETOR OESTE/ GO";"HAP CAIPIRINHA DE LIMAO";"1";"0";"0";"1";"5,54";"5,54";"13";"0";"0";"12,50";"0";
"HAPPY HOUR";"LIFEBOX - SETOR OESTE/ GO";"HAP CAIPIROSCA DE LIMAO";"1";"0";"0";"1";"3,05";"3,05";"14";"0";"0";"13,50";"0";
"HAPPY HOUR";"LIFEBOX - SETOR OESTE/ GO";"HAP CAIPIRINHA DE AMORA";"1";"0";"0";"1";"5,70";"5,70";"13";"0";"0";"12,50";"0";
"KIDS";"LIFEBOX - SETOR OESTE/ GO";"MENU KIDS";"173";"0";"1";"174";"8,06";"1.402,44";"6920";"0";"40";"6.919,96";"0";
"LASANHA ";"LIFEBOX - SETOR OESTE/ GO";"LASANHA BOLONHESA";"4";"0";"7";"11";"1,63";"17,93";"234";"0";"273";"234,00";"6";
"MENU EXECUTIVO";"LIFEBOX - SETOR OESTE/ GO";"MENU EXECUTIVO ENTRADA";"146";"0";"5";"151";"0,00";"0,00";"0";"0";"0";"0,00";"0";
"MENU EXECUTIVO";"LIFEBOX - SETOR OESTE/ GO";"MENU EXECUTIVO PRATOS";"72";"0";"2";"74";"0,00";"0,00";"5472";"0";"152";"5.472,00";"0";
"MENU EXECUTIVO";"LIFEBOX - SETOR OESTE/ GO";"SOBREMESA MENU EXECUTIVO";"137";"0";"3";"140";"0,00";"0,00";"0";"0";"0";"0,00";"1";
"MENU EXECUTIVO";"LIFEBOX - SETOR OESTE/ GO";"MENU EXECUTIVO BURGER";"66";"0";"1";"67";"0,00";"0,00";"4686";"0";"71";"4.686,00";"0";
"MENU EXECUTIVO";"LIFEBOX - SETOR OESTE/ GO";"MINI CAESAR";"65";"0";"4";"69";"3,24";"223,56";"0";"0";"0";"0,00";"0";
"MENU EXECUTIVO";"LIFEBOX - SETOR OESTE/ GO";"MINI SUAVECITO";"77";"0";"1";"78";"4,39";"342,42";"0";"0";"0";"0,00";"1";
"MENU EXECUTIVO";"LIFEBOX - SETOR OESTE/ GO";"CROQUETTE MENU EXECUTIVO";"33";"0";"1";"34";"2,96";"100,64";"0";"0";"0";"0,00";"0";
"MENU EXECUTIVO";"LIFEBOX - SETOR OESTE/ GO";"HAMBURGUER ANGUS 170G";"8";"64";"0";"72";"5,36";"385,92";"157";"1292";"0";"1.449,00";"1";
"MONTE SEU PRATO";"LIFEBOX - SETOR OESTE/ GO";"MONTE SEU PRATO";"1";"0";"0";"1";"0,00";"0,00";"0";"0";"0";"0,00";"0";
"OS MAIS VENDIDOS";"LIFEBOX - SETOR OESTE/ GO";"PICANHA PREMIUM";"949";"24";"6";"979";"16,87";"16.515,73";"51266";"1320";"324";"52.585,98";"11";
"OS MAIS VENDIDOS";"LIFEBOX - SETOR OESTE/ GO";"RETRO";"562";"23";"10";"595";"15,53";"9.240,35";"28686";"1150";"510";"29.835,94";"24";
"OS MAIS VENDIDOS";"LIFEBOX - SETOR OESTE/ GO";"TRADICIONAL";"914";"23";"13";"950";"15,62";"14.839,00";"46616";"1219";"663";"47.835,00";"4";
"OS MAIS VENDIDOS";"LIFEBOX - SETOR OESTE/ GO";"TEXANO";"332";"10";"5";"347";"15,27";"5.298,69";"16600";"520";"250";"17.120,00";"4";
"OS MAIS VENDIDOS";"LIFEBOX - SETOR OESTE/ GO";"AGRIDOCE";"868";"20";"9";"897";"15,45";"13.858,65";"39458";"1000";"432";"40.458,00";"5";
"OS MAIS VENDIDOS";"LIFEBOX - SETOR OESTE/ GO";"PARA VIAGEM";"267";"0";"370";"637";"0";"0";"0";"0,00";"6";
"OS MAIS VENDIDOS";"LIFEBOX - SETOR OESTE/ GO";"HAMBURGUER ANGUS 170G";"8";"64";"0";"72";"5,36";"385,92";"157";"1292";"0";"1.449,00";"1";
"OS MAIS VENDIDOS";"LIFEBOX - SETOR OESTE/ GO";"HAMBURGER SMASH BURGER 80G";"6";"6";"0";"12";"2,56";"30,72";"54";"94";"0";"148,00";"1";
"OS MAIS VENDIDOS";"LIFEBOX - SETOR OESTE/ GO";"HAMBURGER DE PICANHA 170G";"6";"0";"0";"6";"6,23";"37,38";"156";"0";"0";"156,00";"0";
"OS MAIS VENDIDOS";"LIFEBOX - SETOR OESTE/ GO";"HAMBURGUER ANGUS RECHEADO 170G";"1";"14";"0";"15";"5,50";"82,50";"25";"322";"0";"347,00";"0";
"OS MAIS VENDIDOS";"LIFEBOX - SETOR OESTE/ GO";"TRADICIONAL.";"0";"880";"0";"880";"15,70";"13.816,00";"0";"47520";"0";"47.520,00";"0";
"OS MAIS VENDIDOS";"LIFEBOX - SETOR OESTE/ GO";"PICANHA PREMIUM.";"0";"539";"0";"539";"16,87";"9.092,93";"0";"30184";"0";"30.184,00";"0";
"OS MAIS VENDIDOS";"LIFEBOX - SETOR OESTE/ GO";"AGRIDOCE.";"0";"396";"0";"396";"15,42";"6.106,32";"0";"20196";"0";"20.196,00";"0";
"OS MAIS VENDIDOS";"LIFEBOX - SETOR OESTE/ GO";"RETRO.";"0";"336";"0";"336";"15,53";"5.218,08";"0";"17136";"0";"17.136,00";"0";
"OS MAIS VENDIDOS";"LIFEBOX - SETOR OESTE/ GO";"TEXANO.";"0";"168";"0";"168";"15,27";"2.565,36";"0";"8904";"0";"8.904,00";"0";
"PRATOS";"LIFEBOX - SETOR OESTE/ GO";"MIGNON AO MADEIRA COM FRITAS E GORGONZOLA";"31";"0";"3";"34";"23,97";"814,98";"2294";"0";"222";"2.293,98";"0";
"PRATOS ALMOCO 11H - 16H";"LIFEBOX - SETOR OESTE/ GO";"COMBO UNIFORMIZADOS";"153";"0";"0";"153";"0,00";"0,00";"4510";"0";"0";"4.510,00";"11";
"PRATOS ALMOCO 11H - 16H";"LIFEBOX - SETOR OESTE/ GO";"FRANGO MILANESA EM MOLHO CREMOSO";"70";"0";"4";"74";"7,69";"569,06";"2175";"0";"156";"2.174,50";"1";
"PRATOS ALMOCO 11H - 16H";"LIFEBOX - SETOR OESTE/ GO";"PARMEGIANA DE FRANGO";"105";"2";"6";"113";"11,61";"1.311,93";"4158";"88";"210";"4.245,94";"17";
"PRATOS ALMOCO 11H - 16H";"LIFEBOX - SETOR OESTE/ GO";"FETTUCCINE MOLHO ALFREDO COM MILANESA DE FRANGO";"93";"0";"4";"97";"10,74";"1.041,78";"2412";"0";"160";"2.412,46";"2";
"PRATOS ALMOCO 11H - 16H";"LIFEBOX - SETOR OESTE/ GO";"FETTUCCINE  AO MOLHO POMODORO COM FRANGO A MILANESA";"51";"0";"4";"55";"8,43";"463,65";"1620";"0";"152";"1.619,50";"1";
"PRATOS ALMOCO 11H - 16H";"LIFEBOX - SETOR OESTE/ GO";"NATURAL LIFE";"30";"0";"10";"40";"9,22";"368,80";"1113";"0";"351";"1.112,50";"7";
"PRATOS ALMOCO 11H - 16H";"LIFEBOX - SETOR OESTE/ GO";"BRASILIDADE";"40";"0";"6";"46";"15,08";"693,68";"1619";"0";"294";"1.618,88";"18";
"PRATOS ALMOCO 11H - 16H";"LIFEBOX - SETOR OESTE/ GO";"PARMEGIANA BOVINA";"78";"2";"6";"86";"17,00";"1.462,00";"2862";"114";"324";"2.976,00";"15";
"PRATOS ALMOCO 11H - 16H";"LIFEBOX - SETOR OESTE/ GO";"ALCATRA BOX";"31";"1";"0";"32";"23,55";"753,60";"2015";"69";"0";"2.083,98";"1";
"PRATOS ALMOCO 11H - 16H";"LIFEBOX - SETOR OESTE/ GO";"FRANGO AO MOLHO DE QUEIJOS COM FETTUCCINE ALHO E OLEO";"46";"0";"1";"47";"9,94";"467,18";"1443";"0";"39";"1.443,00";"1";
"PRATOS ALMOCO 11H - 16H";"LIFEBOX - SETOR OESTE/ GO";"BASIC CHICKEN";"35";"0";"1";"36";"8,88";"319,68";"1175";"0";"39";"1.174,50";"2";
"PRATOS ALMOCO 11H - 16H";"LIFEBOX - SETOR OESTE/ GO";"AD CARNE PARMEGIANA 100G";"1";"0";"0";"1";"7,23";"7,23";"29";"0";"0";"29,00";"0";
"PRATOS ALMOCO 11H - 16H";"LIFEBOX - SETOR OESTE/ GO";"PARMEGIANA DE FRANGO.";"0";"315";"0";"315";"11,03";"3.474,45";"0";"14175";"0";"14.175,00";"0";
"PRATOS ALMOCO 11H - 16H";"LIFEBOX - SETOR OESTE/ GO";"NATURAL LIFE.";"0";"16";"0";"16";"9,22";"147,52";"0";"704";"0";"704,00";"0";
