"CATEGORIA";"UNIDADE";"PRODUTO DE VENDA";"VENDA DE FRENTE DE LOJA";"VENDA DELIVERY";"CANCELAMENTOS C/DESPERDICIO";"SAIDA TOTAL";"CUSTO";"CUSTO TOTAL";"RECEITA FRENTE DE LOJA";"RECEITA DELIVERY";"VALOR CANCELAMENTOS";"VALOR TOTAL S/CANCELAMENTOS";"CANCELAMENTOS S/DESPERDICIO";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD CEBOLA CARAMELIZADA";"1";"0";"0";"1";"0,83";"0,83";"3";"0";"0";"3,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD MOLHO DA CASA";"3";"216";"0";"219";"1,12";"245,28";"12";"648";"0";"660,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"MILANESA BOVINA - MSP";"0";"0";"0";"0";"10,62";"0,00";"0";"0";"0";"0,00";"1";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD BLEND DE QUEIJOS EMPANADO 120G";"23";"4";"0";"27";"6,72";"181,44";"276";"48";"0";"324,00";"1";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"FETTUCCINE AO ALFREDO - MSP";"0";"0";"0";"0";"6,55";"0,00";"0";"0";"0";"0,00";"1";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"COPO AGRIDOCE";"2";"0";"0";"2";"3,05";"6,10";"10";"0";"0";"10,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD MOLHO KETCHUP DE GOIABA";"1";"314";"0";"315";"0,66";"207,90";"4";"942";"0";"946,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD DOCE DE LEITE";"0";"0";"1";"1";"5,49";"5,49";"0";"0";"17";"0,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD FRITAS";"17";"0";"0";"17";"1,51";"25,67";"170";"0";"0";"170,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD COBERTURA FRUTAS VERMELHAS";"85";"1";"11";"97";"2,39";"231,83";"0";"0";"0";"0,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD CRUMBLE DE CASTANHAS";"26";"0";"3";"29";"4,97";"144,13";"0";"0";"0";"0,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD CRISPY ONIONS";"7";"2";"0";"9";"2,27";"20,43";"14";"4";"0";"18,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD LEITE CONDENSADO";"31";"0";"3";"34";"2,48";"84,32";"248";"0";"24";"248,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"COBERTURA CRUMBLE";"19";"0";"1";"20";"4,82";"96,40";"0";"0";"0";"0,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD MUÇARELA FATIA";"3";"36";"0";"39";"2,87";"111,93";"24";"300";"0";"324,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD FETTUCCINE ALHO E OLEO";"1";"0";"0";"1";"2,94";"2,94";"26";"0";"0";"26,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD RUCULA";"13";"1";"0";"14";"0,96";"13,44";"26";"2";"0";"28,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD QUEIJO ESTEPE";"2";"0";"0";"2";"1,71";"3,42";"16";"0";"0";"16,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD LEGUMES SALTEADOS";"1";"0";"0";"1";"2,00";"2,00";"10";"0";"0";"10,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD CHEDDAR FATIA";"1";"24";"0";"25";"1,33";"33,25";"8";"192";"0";"200,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"FETTUCCINE ALHO E OLEO MSP";"0";"0";"0";"0";"2,94";"0,00";"0";"0";"0";"0,00";"1";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"ALFACE E TOMATE- MSP";"0";"0";"0";"0";"0,44";"0,00";"0";"0";"0";"0,00";"1";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"PURE DE BATATA- MSP";"1";"0";"1";"2";"3,54";"7,08";"6";"0";"0";"6,00";"1";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"FETTUCCINE COM MOLHO POMODORO - MSP";"0";"0";"1";"1";"5,58";"5,58";"0";"0";"0";"0,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"BATATA FRITA - MSP";"0";"0";"1";"1";"2,66";"2,66";"0";"0";"0";"0,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD DE FEIJAO";"1";"0";"0";"1";"0,88";"0,88";"10";"0";"0";"10,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"FILE MIGNON AO MADEIRA E OVO - MSP";"1";"0";"0";"1";"11,03";"11,03";"30";"0";"0";"30,00";"0";
